#     run      RA         Dec        MJDstart       MJDend         node  inclination     mu0       nu0
#       1  318.620784  -1.053274   51464.171742   51464.188767  95.000000   0.000000 318.620784  -1.053274
    2964  127.100672  30.957678   52313.240812   52313.474665  95.000044  50.002207 138.400752  -1.058063
    2968   82.712408  -1.057502   52314.081545   52314.112643  90.636231   0.001306  82.712384  -1.057322
    2986  121.224776   2.053354   52318.223560   52318.355827  95.009682   7.499589 121.271059  -1.266061
    2987  148.096507  52.934805   52318.365469   52318.412323  94.998973  60.005391 163.777737  -1.060807
    2989  176.010556  58.627419   52318.433161   52318.478356  94.998869  60.015479 180.332743  -1.070726
    3015  122.571213   2.423019   52338.108169   52338.278998  95.007624   7.499946 122.650619  -1.055960
    3031  121.845277   3.269705   52345.124222   52345.410318  94.998195   9.999852 122.001461  -1.267654
    3058  187.119191  56.750539   52354.312362   52354.346776 185.005141  89.999341 241.773572  -1.158367
    3059  154.437741  44.369141   52354.356040   52354.421552  94.994881  50.016886 163.678454  -1.280279
    3098  220.237232   4.971205   52364.404154   52364.447276  95.066779   7.509343 220.093956  -1.175564
    3103  150.985463  48.384925   52365.099534   52365.204851  95.001260  54.995278 163.186018  -1.262417
    3104  206.722479   5.914999   52365.215842   52365.235330  94.762496   7.433323 206.602913  -0.983246
    3130  191.896242  53.741939   52379.194781   52379.228366  95.001451  55.004574 189.073481  -1.061845
    3177  203.133770  52.305878   52402.133288   52402.278824  95.000563  55.000777 195.973499  -1.268745
    3180  200.010135  52.978168   52402.338233   52402.441062  95.003193  54.998476 193.974330  -1.056150
    3183  188.402235  58.686348   52403.123552   52403.183674  94.998288  59.993679 186.767066  -1.261825
    3184  216.064748  54.601845   52403.191457   52403.259457  94.995479  59.993434 202.393677  -1.260741
    3185  241.071204  37.117940   52403.271030   52403.331981  95.005618  55.002044 226.434820  -1.062065
    3187  225.335203  48.601259   52403.357755   52403.437364  95.001751  57.496662 210.349911  -1.263942
    3204  253.939519  -1.162314   52424.330961   52424.362058 311.066189   0.000525 253.939514  -1.161873
    3225  204.415732  57.424662   52434.185331   52434.328379  95.003891  60.012665 195.313913  -1.068316
    3226  232.355033  47.917827   52434.337250   52434.427225  94.995551  59.996909 214.541924  -1.262107
    3230  199.960350   6.190847   52435.200973   52435.237046  95.024173   7.505899 199.873853  -1.063599
    3313  325.340166  -1.266720   52516.254971   52516.283995 145.433193   0.000513 325.340177  -1.266721
    3322  304.811029  -1.166030   52522.173990   52522.212550 104.777372   0.000648 304.811041  -1.165808
    3323  312.226277  -4.423315   52522.222760   52522.252199 314.989555  45.182526 309.906113  -1.161208
    3325  346.181686  -1.271203   52522.276285   52522.480284 170.669375   0.000480 346.181697  -1.271240
    3355   20.353203  -1.266427   52551.340869   52551.450746 169.375703   0.001444  20.353230  -1.265684
    3356    3.719142  31.924851   52551.467396   52551.500982 342.831098  62.033564  20.354026  -1.105231
    3358  258.669769  61.471170   52552.073303   52552.139230  94.993300  82.493713 212.278864  -1.049243
    3360  307.513569  -1.267017   52552.163561   52552.375853  98.784376   0.001022 307.513589  -1.266526
    3362   21.437687  -1.058002   52552.389863   52552.486057 230.333339   0.000086  21.437688  -1.058043
    3366    6.013418  34.666281   52553.293041   52553.339065 342.859856  62.007148  23.715290  -1.065193
    3367    4.512901  32.533963   52553.348200   52553.400859 342.865021  62.005847  21.254952  -1.271383
    3384  306.770208  -1.058085   52557.157417   52557.484147 276.282419   0.001112 306.770190  -1.058649
    3388  313.745695  -1.267469   52558.189269   52558.484487 208.757109   0.000200 313.745696  -1.267662
    3427  310.321129  -1.267172   52576.092040   52576.145527 295.446365   0.003191 310.321061  -1.267991
    3430   24.720618  -1.265549   52576.218890   52576.256621 296.946972   0.008585  24.720611  -1.274127
    3434  311.154883  -1.267965   52577.069582   52577.298044 160.916823   0.000183 311.154886  -1.268056
    3437  310.786421  -1.058181   52578.064616   52578.266542 264.900445   0.001778 310.786398  -1.059457
    3438   31.599031  -1.267467   52578.276494   52578.357348 308.967351   0.002906  31.599023  -1.270349
    3460   23.383491  -1.267532   52585.216720   52585.317890 188.341706   0.000334  23.383498  -1.267446
    3461   43.745653  -1.058529   52585.327331   52585.372111 143.996503   0.003095  43.745663  -1.055484
    3462  114.689757  18.427298   52585.382266   52585.501681  95.002162  47.503898 121.687669  -1.267628
    3465  327.698822  -1.267264   52586.120133   52586.266083 170.597952   0.000675 327.698836  -1.267526
    3478  120.161127   3.216386   52591.438988   52591.507402  95.004668  10.000385 120.332031  -1.057071
    3511   66.707329  25.860750   52614.263605   52614.294703 245.194524 -90.141736  91.060015  -1.423115
    3512   62.840775  24.131677   52614.302947   52614.335703 335.414593  25.315182  63.065355  -1.160945
    3513  114.875716  18.889052   52614.345574   52614.402793  95.004511  47.501755 122.135839  -1.054906
    3518  142.704257   6.362288   52615.462283   52615.514941  94.964983  10.006654 143.015118  -1.070303
    3525  162.857903   8.214586   52619.434300   52619.524275  94.999124  10.003944 163.092936  -1.062687
    3530  119.985420  23.326970   52621.365677   52621.529042  94.996679  47.506457 128.645892  -1.062377
    3538  119.764066   4.011420   52622.385917   52622.517770  95.010884  12.496278 120.036869  -1.265130
    3557   66.448766  22.674136   52639.162913   52639.194425  65.496644  89.961221  88.174138  -0.863577
    3559   62.299663  24.330907   52639.207379   52639.238476 335.411096  25.305438  62.575870  -0.941631
    3560  113.128608  15.571027   52639.250190   52639.387433  95.005889  45.000122 118.695632  -1.264375
    3562  148.854190  37.531231   52639.444949   52639.499680  94.998225  45.008993 157.103208  -1.272102
    3563  166.743553  -1.059817   52639.509903   52639.530635 279.643203   0.002971 166.743574  -1.057080
    3565   19.231040  -1.269675   52640.056250   52640.118860 113.105569   0.003054  19.231045  -1.266628
    3600  132.467787  54.193986   52662.317723   52662.360016  95.001719  67.495235 157.328073  -1.051794
    3605  113.551995  16.222831   52664.166093   52664.234507  95.001376  44.999230 119.433877  -1.057202
    3606  126.412627  26.200956   52664.244350   52664.315252  95.004689  45.000004 135.016262  -1.055932
    3610   35.903553  47.037668   52666.104397   52666.158714 274.994582  52.497746  25.490334  -1.052523
    3615  143.664167  35.705339   52666.253171   52666.288000  95.002848  45.000719 152.560984  -1.056853
    3628   33.538337  47.497937   52667.065869   52667.127235 275.007413  52.520834  23.838433  -1.286009
    3629   39.775738  45.763983   52667.136341   52667.185268 274.995416  52.501692  28.449227  -1.056857
    3630  118.395834   3.950326   52667.194781   52667.302171  95.004651  12.500349 118.686295  -1.058181
    3631  118.520379   4.798743   52667.310838   52667.517740  94.995233  15.001254 118.945915  -1.269166
    3634   32.107194  45.564921   52668.066423   52668.126130 275.001834  50.012225  23.606769  -1.067425
    3635  114.999152  15.758162   52668.135375   52668.224521  95.009237  42.498157 120.232615  -1.262443
    3642   30.274753  45.802715   52671.063558   52671.099217 274.985405  49.990039  22.315623  -1.251687
    3643   38.921670  43.280566   52671.107163   52671.151944 274.991999  49.996943  28.974188  -1.260507
    3644  114.363389  15.525149   52671.160786   52671.286420  95.005210  42.499903 119.610854  -1.055873
    3647  138.626169  31.092079   52671.342212   52671.418504  94.999239  42.509566 146.685636  -1.063190
    3650  185.359784  48.735351   52671.477910   52671.530153  95.001235  50.001052 185.237768  -1.265134
    3664  208.462370  46.220720   52681.448836   52681.491958  94.986230  49.977675 200.989238  -1.241547
    3697  164.467286  54.446245   52704.262897   52704.297726  94.998254  57.494533 173.228592  -1.262349
    3698  152.539946  41.258389   52704.309304   52704.398865  95.000118  47.504463 161.198571  -1.272084
